school,slug,nickname,state,field,head_coach,conference,world_series_appearances,titles
Delaware State University,DSU162,Hornets,Delaware,The Hornets Nest,Amber Jackson,MEAC,None,None
DePaul University,DU265,Blue Demons,Illinois,Cacciatore Stadium,Eugene Lenti,Big East,"1999, 2000, 2005, 2007",None
Drake University,DU355,Bulldogs,Iowa,Ron Buel Field,Rich Calvert,Missouri Valley,None,None
Drexel University,DU984,Dragons,Pennsylvania,Drexel Softball Field,Carl Taylor,CAA,None,None
East Carolina University,ECU837,Pirates,North Carolina,ECU Softball Stadium,Courtney Oliver,The American,None,None
"East Tennessee State University
(East Tennessee or ETSU)",ETSU1134,Lady Buccaneers,Tennessee,Betty Basler Field,Brad Irwin,Southern,None,None
Eastern Illinois University,EIU266,Panthers,Illinois,Williams Field,Kim Schuette,Ohio Valley,"1971, 1974[2]",None
Eastern Kentucky University,EKU405,Lady Colonels,Kentucky,Gertrude Hood Field,Jane Worthington,Ohio Valley,None,None
Eastern Michigan University,EMU544,Eagles,Michigan,Varsity Field,Melissa Gentile,Mid-American,None,None
Elon University,EU838,Phoenix,North Carolina,Hunt Softball Park,Kathy Bocock,CAA,None,None
Fairfield University,FU143,Stags,Connecticut,Alumni Softball Field,Julie Brzezinski,MAAC,None,None
Fairleigh Dickinson University,FDU696,Knights,New Jersey,FDU Softball Field,Katherine Kelley,Northeast,None,None
"Florida Agricultural and Mechanical University
(Florida A&M)",FAMU177,Lady Rattlers,Florida,Lady Rattler Softball Complex,Veronica Wiggins,MEAC,None,None
Florida Atlantic University,FAU178,Owls,Florida,FAU Softball Stadium,Joan Joyce,Conference USA,None,None
"Florida Gulf Coast University
(FGCU)",FGCU179,Eagles,Florida,FGCU Softball Complex,David Deiros,ASUN,None,None
"Florida International University
(FIU)",FIU180,Panthers,Florida,FIU Softball Complex,Gator Rebhan,Conference USA,None,None
Florida State University,FSU181,Seminoles,Florida,JoAnne Graf Field at the Seminole Softball Complex,Lonni Alameda,ACC,"1987, 1990, 1991, 1992, 1993, 2002, 2004, 2014, 2016",None
Fordham University,FU737,Rams,New York,Murphy Field,Bridget Orchard,Atlantic 10,None,None
Furman University,FU1096,Paladins,South Carolina,Pepsi Softball Stadium,Kyle Jamieson,Southern,None,None
Gardner-Webb University,GU839,Runnin' Bulldogs,North Carolina,Varsity Field,Tom Cole,Big South,None,None
George Mason University,GMU1244,Patriots,Virginia,George Mason Softball Complex,Joe Verbanic,Atlantic 10,None,None
George Washington University,GWU167,Colonials,"Washington, D.C.",Mount Vernon Athletic Complex,James DeFeo,Atlantic 10,None,None
Georgetown University,GU168,Hoyas,"Washington, D.C.",Guy Mason Field,Pat Conlan,Big East,None,None
"Georgia Institute of Technology
(Georgia Tech)",GIOT209,Yellow Jackets,Georgia,Shirley Clements Mewborn Field,Shelly Hoerner,ACC,None,None
Georgia Southern University,GSU210,Eagles,Georgia,Eagle Field at the GSU Softball Complex,Annie Smith,Sun Belt,None,None
Georgia State University,GSU211,Panthers,Georgia,Robert E. Heck Softball Complex,Roger Kincaid,Sun Belt,None,None
Grambling State University,GSU431,Lady Tigers,Louisiana,Grambling State Softball Complex,Wilbert Early,SWAC,None,None
Grand Canyon University,,Antelopes,Arizona,Stapleton–Pierson Stadium,Ann Pierson,Western Athletic,None,None
Hampton University,HU594,Lady Pirates,Virginia,Lady Pirates Softball Stadium,Angie Nicholson,MEAC,None,None
Harvard University,HU487,Crimson,Massachusetts,Soldiers Field,Jenny Allard,Ivy League,None,None
Hofstra University,HU738,Pride,New York,Hofstra Softball Stadium,Larissa Anderson,CAA,None,None
Houston Baptist University,HBU1167,Huskies,Texas,Husky Field,Mary-Ellen Hall,Southland,None,None
Howard University,HU169,Lady Bison,"Washington, D.C.",Banneker Field,Lauren McCoy,MEAC,None,None
Idaho State University,ISU259,Bengals,Idaho,Miller Ranch Stadium,Candi Letts,Big Sky,None,None
Illinois State University,ISU268,Redbirds,Illinois,Marian Kneer Softball Stadium,Melinda Fischer,Missouri Valley,"1969, 1970, 1971, 1972, 1973, 1976, 1978, 1981[2]",None
Indiana State University,ISU318,Sycamores,Indiana,Eleanor Forsythe St. John Softball Complex,Shane Bouman,Missouri Valley,"1974, 1976[2]",None
"Indiana University Bloomington
(Indiana)",IU317,Hoosiers,Indiana,IU Softball Field,Michelle Gardner,Big Ten,"1979, 1980,[2] 1983, 1986",None
"Indiana University–Purdue University Fort Wayne
(Fort Wayne)",IUPUFW319,Mastodons,Indiana,IPFW Softball Field,Germaine Fairchild,The Summit,None,None
"Indiana University–Purdue University Indianapolis
(IUPUI)",IUPUI320,Jaguars,Indiana,IUPUI Softball Complex,Heather Tarter (2017 interim),The Summit,None,None
Iona College,IC739,Gaels,New York,Rice Oval Field,Melissa Inouye,MAAC,None,None
Iowa State University,ISU357,Cyclones,Iowa,Cyclone Sports Complex,Jamie Trachsel,Big 12,"1971, 1973[2]",None
Jackson State University,JSU608,Lady Tigers,Mississippi,Jackson State University Softball Stadium,Darnell Walker,SWAC,None,None
Jacksonville State University,JSU5,Gamecocks,Alabama,University Field,Jana McGinnis,Ohio Valley,None,None
Jacksonville University,JU182,Dolphins,Florida,JU Softball Complex,Jennifer Steele,ASUN,None,None
James Madison University,JMU1246,Dukes,Virginia,Veterans Memorial Park,Mickey Dean,CAA,None,None
Kennesaw State University,KSU212,Owls,Georgia,Bailey Park,Pete D'Amour,ASUN,None,None
Kent State University,KSU893,Golden Flashes,Ohio,Diamond at Dix,Eric Oakley,Mid-American,1990,None
La Salle University,LSU986,Explorers,Pennsylvania,West Campus Softball Field,Ron Shoemaker,Atlantic 10,None,None
Lafayette College,LC987,Leopards,Pennsylvania,Lafayette Softball Field,Jexx Varner,Patriot League,None,None
Lamar University,LU1168,Lady Cardinals,Texas,Lamar Softball Complex,Holly Bruder,Southland,None,None
Lehigh University,LU988,Mountain Hawks,Pennsylvania,Kaufman Field,Fran Troyan,Patriot League,None,None
Liberty University,LU1247,Lady Flames,Virginia,Liberty Softball Field,Dot Richardson,Big South,None,None
Lipscomb University,LU1135,Lady Bisons,Tennessee,Draper Diamond,Kristin Ryman,ASUN,None,None
"Long Island University Brooklyn
(LIU Brooklyn)",LIU740,Blackbirds,New York,Long Island University Field,Roy Kortmann,Northeast,None,None
Longwood University,LU1248,Lancers,Virginia,Lancer Field,Kathy Riley,Big South,None,None
"Louisiana State University
(LSU)",LSU434,Tigers,Louisiana,Tiger Park,Beth Torina,SEC,"2001, 2004, 2012, 2015, 2016",None
Louisiana Tech University,LTU435,Lady Techsters,Louisiana,Lady Techster Softball Complex,Mark Montgomery,Conference USA,"1983, 1985, 1986",None
Loyola Marymount University,LMU65,Lions,California,Smith Field,Sami Strinz,West Coast,None,None
"Loyola University Chicago
(Loyola Chicago)",LU936,Ramblers,Illinois,Loyola Softball Park,Jeff Tylka,Missouri Valley,None,None
Manhattan College,MC741,Lady Jaspers,New York,Gaelic Park,Tom Pardalis,MAAC,None,None
Marist College,MC742,Red Foxes,New York,Softball Park at Gartland Athletic Field,Joe Ausanio,MAAC,None,None
Marshall University,MU1298,Thundering Herd,West Virginia,Dot Hicks Field,Shonda Stanton,Conference USA,None,None
McNeese State University,MSU436,Cowgirls,Louisiana,Cowgirl Diamond,James Landreneau,Southland,None,None
Mercer University,MU213,Bears,Georgia,Sikes Field,Stephanie DeFeo,Southern,None,None
"Miami University
(Miami of Ohio)",MU894,RedHawks,Ohio,Miami Softball Diamond,Clarisa Crowell,Mid-American,None,None
Michigan State University,MSU546,Spartans,Michigan,Secchia Stadium,Jacquie Joseph,Big Ten,"1973, 1974, 1975, 1976, 1977, 1981[2]",1976
"Middle Tennessee State University
(Middle Tennessee or MTSU)",MTSU1137,Blue Raiders,Tennessee,Blue Raider Softball Field,Jeff Breeden,Conference USA,None,None
Mississippi State University,MSU610,Lady Bulldogs,Mississippi,MSU Softball Field,Vann Stuedeman,SEC,None,None
Mississippi Valley State University,MVSU611,Devilettes,Mississippi,Devilettes Softball Complex,Lee Smith,SWAC,None,None
Missouri State University,,Lady Bears,Missouri,Killian Stadium,Holly Hesse,Missouri Valley,"1969, 1970, 1971, 1972, 1973, 1974, 1977, 1978, 1980, 1982 (AIAW)[2]",1974
Monmouth University,,Hawks,New Jersey,Monmouth University Softball Park,Shannon Salsburg,MAAC,None,None
Morehead State University,,Eagles,Kentucky,University Field,David Williams,Ohio Valley,None,None
Morgan State University,,Bears,Maryland,Lois T. Murray Field,"Jeff Bozier, Sr.",MEAC,None,None
Mount St. Mary's University,,Mountaineers,Maryland,Our Lady of the Meadows Field,Anna Nagro,Northeast,None,None
Murray State University,,Racers,Kentucky,Racer Field,Kara Amundson,Ohio Valley,None,None
New Mexico State University,,Aggies,New Mexico,NMSU Softball Complex,Kathy Rodolph,Western Athletic,1981[2],None
Niagara University,,Purple Eagles,New York,Niagara Softball Field,Larry Puzan,MAAC,None,None
Nicholls State University,,Colonels,Louisiana,Colonel Softball Complex,Angel Santiago,Southland,None,None
Norfolk State University,,Spartans,Virginia,NSU Softball Field,Heidi Cavallo,MEAC,None,None
"North Carolina Agricultural and Technical State University
(North Carolina A&T)",,Aggies,North Carolina,Aggie Softball Complex,Mamie Jones,MEAC,None,None
North Carolina Central University,,Eagles,North Carolina,Parkwood Athletic Field,Vashion Johnson,MEAC,None,None
"North Carolina State University
(NC State)",,Wolfpack,North Carolina,Dail Softball Stadium,Shawn Rychcik,ACC,None,None
North Dakota State University,,Bison,North Dakota,Ellig Sports Complex,Darren Mueller,The Summit,"1973, 1974, 1975[2]",None
Northern Illinois University,,Huskies,Illinois,Mary M. Bell Field,Christina Sutcliffe,Mid-American,1988,None
Northern Kentucky University,,Norse,Kentucky,Frank Ignatius Grein Softball Field,Kathryn Gleason,Horizon League[c],None,None
Northwestern State University,,Lady Demons,Louisiana,Lady Demon Diamond[5],Donald Pickett,Southland,None,None
Northwestern University,NU272,Wildcats,Illinois,Sharon J. Drysdale Field,Kate Drohan,Big Ten,"1984, 1985, 1986, 2006, 2007",None
Oakland University,,Golden Grizzlies,Michigan,Oakland University Softball Field,Connie Miner,Horizon League,None,None
Ohio State University,,Buckeyes,Ohio,Buckeye Field,Kelly Kovach Schoenly,Big Ten,1982 (AIAW)[2],None
Ohio University,,Bobcats,Ohio,Ohio Softball Field,Jodi Hermanek,Mid-American,1975[2],None
"Oklahoma State University–Stillwater
(Oklahoma State)",,Cowgirls,Oklahoma,Cowgirl Stadium,Kenny Gajewski,Big 12,"1977, 1980, 1981, 1982 (AIAW),[2] 1982 (NCAA), 1989, 1990, 1993, 1994, 1998, 2011",None
Oregon State University,,Beavers,Oregon,OSU Softball Complex,Laura Berg,Pac-12,"1977, 1978, 1979,[2] 2006",None
"Pennsylvania State University
(Penn State)",,Nittany Lions,Pennsylvania,Beard Field,Amanda Lehotak,Big Ten,None,None
Portland State University,,Vikings,Oregon,Erv Lind Stadium,Meadow McWhorter,Big Sky,1978[2],None
Prairie View A&M University,,Lady Panthers,Texas,Lady Panther Softball Complex,Vernon Bland,SWAC,None,None
Presbyterian College,,Blue Hose,South Carolina,Presbyterian College Softball Complex,Kama Tucker,Big South,None,None
Princeton University,,Tigers,New Jersey,Class of 1895 Field,Lisa Sweeney,Ivy League,"1995, 1996",None
Providence College,,Friars,Rhode Island,Raymond Field,Kerri Jacklets,Big East,None,None
Purdue University,,Boilermakers,Indiana,Boilermaker Softball Complex,Boo De Oliviera,Big Ten,1972[2],None
Quinnipiac University,,Bobcats,Connecticut,Quinnipiac Softball Field,Germaine Fairchild,MAAC,None,None
Radford University,,Highlanders,Virginia,Radford University Softball Field,Aileen Morales,Big South,None,None
Rider University,,Broncs,New Jersey,Herb and Joan Young Field,Tricia Carroll,MAAC,None,None
Robert Morris University,,Lady Colonials,Pennsylvania,The North Athletic Complex,Craig Coleman,Northeast,None,None
"Rutgers University–New Brunswick
(Rutgers)",,Scarlet Knights,New Jersey,Rutgers Softball Complex,Jay Nelson,Big Ten,"1979, 1981[2]",None
Sacred Heart University,,Pioneers,Connecticut,Pioneer Park,"Elizabeth Luckie
& Pam London",Northeast,None,None
Saint Francis University,,Red Flash,Pennsylvania,Red Flash Field,Jennifer Patrick-Swift,Northeast,None,None
Saint Joseph's University,,Hawks,Pennsylvania,SJU Softball Field,Terri Adams,Atlantic 10,None,None
Saint Louis University,,Billikens,Missouri,Billiken Sports Center,Christy Connoyer,Atlantic 10,None,None
Saint Mary's College of California,,Gaels,California,Cottrell Field,Jessica Hanaseth-Rodgers,West Coast,None,None
Saint Peter's University,,Peahens,New Jersey,Joseph J. Jaroschak Field,Chris Stelma,MAAC,None,None
Sam Houston State University,,Bearkats,Texas,Bearkat Softball Complex,Bob Brock,Southland,None,None
Samford University,,Bulldogs,Alabama,Bulldog Field,Mandy Burford,Southern,None,None
San Diego State University,,Aztecs,California,SDSU Softball Stadium,Kathy Van Wyk,Mountain West,None,None
San Jose State University,,Spartans,California,SJSU Field,Peter Turner,Mountain West,None,None
Santa Clara University,,Broncos,California,SCU Softball Field,Lisa Mize,West Coast,None,None
Savannah State University,,Lady Tigers,Georgia,Lady Tiger Softball Field,Jose Gonzalez,MEAC,None,None
Seattle University,,Redhawks,Washington,Logan Field,Geoff Harai,Western Athletic,None,None
Seton Hall University,,Pirates,New Jersey,"Mike Sheppard, Sr. Field",Paige Smith,Big East,None,None
Siena College,,Saints,New York,Siena Softball Field,Bill Lajeunesse,MAAC,None,None
South Carolina State University,,Lady Bulldogs,South Carolina,Lady Bulldog Softball Field,Tonja Braxton,MEAC,None,None
South Dakota State University,,Jackrabbits,South Dakota,Jackrabbit Softball Stadium,Kim Aggabao,The Summit,"1971, 1972, 1973, 1974[2]",None
