school,team,city,state,state_abbr,type,conference,division
Muhlenberg College,Mules,Allentown,Pennsylvania,PA,,Centennial Conference,D3
Neumann University,Knights,Aston,Pennsylvania,PA,,Colonial States Athletic Conference,D3
Pennsylvania College of Technology[A 2],Wildcats,Williamsport,Pennsylvania,PA,,North Eastern Athletic Conference,D3
"Pennsylvania State University, Abington",Nittany Lions,Abington,Pennsylvania,PA,,North Eastern Athletic Conference,D3
"Pennsylvania State University, Altoona",Lions,Altoona,Pennsylvania,PA,,Allegheny Mountain Collegiate Conference,D3
"Pennsylvania State University, Berks College",Nittany Lions,Reading,Pennsylvania,PA,,North Eastern Athletic Conference,D3
"Pennsylvania State University, Erie",Lions,Erie,Pennsylvania,PA,,Allegheny Mountain Collegiate Conference,D3
"Pennsylvania State University, Harrisburg",Lions,Harrisburg,Pennsylvania,PA,,Capital Athletic Conference,D3
University of Pittsburgh at Bradford,Panthers,Bradford,Pennsylvania,PA,,Allegheny Mountain Collegiate Conference,D3
University of Pittsburgh at Greensburg,Bobcats,Greensburg,Pennsylvania,PA,,Allegheny Mountain Collegiate Conference,D3
Rosemont College,Ravens,Rosement,Pennsylvania,PA,,Colonial States Athletic Conference,D3
Saint Vincent College,Bearcats,Latrobe,Pennsylvania,PA,,Presidents' Athletic Conference,D3
University of Scranton,Royals,Scranton,Pennsylvania,PA,,Landmark Conference,D3
Clarks Summit University,Defenders,Clarks Summit,Pennsylvania,PA,,Colonial States Athletic Conference,D3
Susquehanna University,River Hawks,Selinsgrove,Pennsylvania,PA,,Landmark Conference,D3
Swarthmore College,Garnet,Swarthmore,Pennsylvania,PA,,Centennial Conference,D3
Thiel College,Tomcats,Greenville,Pennsylvania,PA,,Presidents' Athletic Conference,D3
Ursinus College,Bears,Collegeville,Pennsylvania,PA,,Centennial Conference,D3
University of Valley Forge,Patriots,Phoenixville,Pennsylvania,PA,,Independent,D3
Washington & Jefferson College,Presidents,Washington,Pennsylvania,PA,,Presidents' Athletic Conference,D3
Waynesburg University,Yellow Jackets,Waynesburg,Pennsylvania,PA,,Presidents' Athletic Conference,D3
Westminster College,Titans,New Wilmington,Pennsylvania,PA,,Presidents' Athletic Conference,D3
Widener University,Pride,Chester,Pennsylvania,PA,,MAC Commonwealth Conference,D3
Wilkes University,Colonels,Wilkes-Barre,Pennsylvania,PA,,MAC Freedom Conference,D3
Wilson College,Phoenix,Chambersburg,Pennsylvania,PA,,North Eastern Athletic Conference,D3
York College of Pennsylvania,Spartans,York,Pennsylvania,PA,,Capital Athletic Conference,D3
Carlow University,Celtics,Pittsburgh,Pennsylvania,PA,,River States Conference,NAIA II
Point Park University,Pioneers,Pittsburgh,Pennsylvania,PA,,River States Conference,NAIA II
Brown University,Bears,Providence,Rhode Island,RI,Private/Non-Sectarian,Ivy League,D1
Bryant University,Bulldogs,Smithfield,Rhode Island,RI,Private/Non-Sectarian,Northeast Conference,D1
Providence College,Friars,Providence,Rhode Island,RI,Private/Catholic,Big East Conference,D1
University of Rhode Island,Rams,Kingston,Rhode Island,RI,State,Atlantic 10 Conference,D1
Johnson & Wales University,Wildcats,Providence,Rhode Island,RI,,Great Northeast Athletic Conference,D3
Rhode Island College,Anchormen,Providence,Rhode Island,RI,,Little East Conference,D3
Roger Williams University,Hawks,Bristol,Rhode Island,RI,,The Commonwealth Coast Conference,D3
Salve Regina University,Seahawks,Newport,Rhode Island,RI,,The Commonwealth Coast Conference,D3
College of Charleston[A 4],Cougars,Charleston,South Carolina,SC,State,Colonial Athletic Association,D1
Charleston Southern University,Buccaneers[A 5],Charleston,South Carolina,SC,Private/Baptist,Big South Conference,D1
The Citadel,Bulldogs,Charleston,South Carolina,SC,State,Southern Conference,D1
Clemson University,Tigers,Clemson,South Carolina,SC,State,Atlantic Coast Conference,D1
Coastal Carolina University,Chanticleers,Conway,South Carolina,SC,State,Sun Belt Conference,D1
Furman University,Paladins and Lady Paladins,Greenville,South Carolina,SC,Private/Non-sectarian,Southern Conference,D1
Presbyterian College,Blue Hose,Clinton,South Carolina,SC,Private/Presbyterian,Big South Conference,D1
University of South Carolina,Gamecocks,Columbia,South Carolina,SC,State,Southeastern Conference,D1
South Carolina State University,Bulldogs and Lady Bulldogs,Orangeburg,South Carolina,SC,State,Mid-Eastern Athletic Conference,D1
University of South Carolina Upstate,Spartans[A 28],Spartanburg,South Carolina,SC,State,Atlantic Sun Conference,D1
Winthrop University,Eagles,Rock Hill,South Carolina,SC,State,Big South Conference,D1
Wofford College,Terriers,Spartanburg,South Carolina,SC,Private/Methodist,Southern Conference,D1
Anderson University,Trojans,Anderson,South Carolina,SC,,South Atlantic Conference,D2
Benedict College,Tigers,Columbia,South Carolina,SC,,Southern Intercollegiate Athletic Conference,D2
Claflin University,Panthers,Orangeburg,South Carolina,SC,,Southern Intercollegiate Athletic Conference,D2
Coker College,Cobras,Hartsville,South Carolina,SC,,South Atlantic Conference,D2
Converse College,Valkyries,Spartanburg,South Carolina,SC,,Conference Carolinas,D2
Erskine College,Flying Fleet,Due West,South Carolina,SC,,Conference Carolinas,D2
Francis Marion University,Patriots,Florence,South Carolina,SC,,Peach Belt Conference,D2
Lander University,Bearcats,Greenwood,South Carolina,SC,,Peach Belt Conference,D2
Limestone College,Saints,Gaffney,South Carolina,SC,,Conference Carolinas,D2
Newberry College,Wolves,Newberry,South Carolina,SC,,South Atlantic Conference,D2
North Greenville University,Crusaders,Tigerville,South Carolina,SC,,Conference Carolinas,D2
University of South Carolina Aiken,Pacers,Aiken,South Carolina,SC,,Peach Belt Conference,D2
Southern Wesleyan University,Warriors,Central,South Carolina,SC,,Conference Carolinas,D2
Allen University,Yellow Jackets,Columbia,South Carolina,SC,,Appalachian Athletic Conference,NAIA II
Columbia College (SC),Koalas,Columbia,South Carolina,SC,,Appalachian Athletic Conference,NAIA II
Morris College,Hornets,Sumter,South Carolina,SC,,Association of Independent Institutions,NAIA I
University of South Carolina Beaufort,Sand Sharks,Beaufort,South Carolina,SC,,Sun Conference,–
Voorhees College,Tigers,Denmark,South Carolina,SC,,Association of Independent Institutions,NAIA I
University of South Dakota,Coyotes,Vermillion,South Dakota,SD,State,The Summit League,D1
South Dakota State University,Jackrabbits,Brookings,South Dakota,SD,State,The Summit League,D1
Augustana University,Vikings,Sioux Falls,South Dakota,SD,,Northern Sun Intercollegiate Conference,D2
Black Hills State University,Yellow Jackets,Spearfish,South Dakota,SD,,Rocky Mountain Athletic Conference,D2
Northern State University,Wolves,Aberdeen,South Dakota,SD,,Northern Sun Intercollegiate Conference,D2
University of Sioux Falls,Cougars,Sioux Falls,South Dakota,SD,,Northern Sun Intercollegiate Conference,D2
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,SD,,Rocky Mountain Athletic Conference,D2
Dakota State University,Trojans,Madison,South Dakota,SD,,North Star Athletic Association,NAIA II
Dakota Wesleyan University,Tigers,Mitchell,South Dakota,SD,,Great Plains Athletic Conference,NAIA II
Mount Marty College,Lancers,Yankton,South Dakota,SD,,Great Plains Athletic Conference,NAIA II
Presentation College,Saints,Aberdeen,South Dakota,SD,,North Star Athletic Association,NAIA II
Austin Peay State University,Governors and Lady Govs,Clarksville,Tennessee,TN,State,Ohio Valley Conference,D1
Belmont University,Bruins,Nashville,Tennessee,TN,Private/Christian,Ohio Valley Conference,D1
East Tennessee State University,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,TN,State,Southern Conference,D1
Lipscomb University,Bisons and Lady Bisons,Nashville,Tennessee,TN,Private/Churches of Christ,Atlantic Sun Conference,D1
University of Memphis,Tigers,Memphis,Tennessee,TN,State,American Athletic Conference,D1
Middle Tennessee State University,Blue Raiders,Murfreesboro,Tennessee,TN,State,Conference USA,D1
University of Tennessee,Volunteers and Lady Vols[A 32],Knoxville,Tennessee,TN,State,Southeastern Conference,D1
University of Tennessee at Chattanooga,Mocs and Lady Mocs,Chattanooga,Tennessee,TN,State,Southern Conference,D1
University of Tennessee at Martin,Skyhawks,Martin,Tennessee,TN,State,Ohio Valley Conference,D1
Tennessee State University,Tigers and Lady Tigers,Nashville,Tennessee,TN,State,Ohio Valley Conference,D1
Tennessee Technological University,Golden Eagles,Cookeville,Tennessee,TN,State,Ohio Valley Conference,D1
Vanderbilt University,Commodores,Nashville,Tennessee,TN,Private/Non-Sectarian,Southeastern Conference,D1
Carson–Newman University,Eagles,Jefferson City,Tennessee,TN,,South Atlantic Conference,D2
Christian Brothers University,Buccaneers,Memphis,Tennessee,TN,,Gulf South Conference,D2
King University,Tornados,Bristol,Tennessee,TN,,Conference Carolinas,D2
Lane College,Dragons,Jackson,Tennessee,TN,,Southern Intercollegiate Athletic Conference,D2
Lee University,Flames,Cleveland,Tennessee,TN,,Gulf South Conference,D2
LeMoyne–Owen College,Magicians,Memphis,Tennessee,TN,,Southern Intercollegiate Athletic Conference,D2
Lincoln Memorial University,Railsplitters,Harrogate,Tennessee,TN,,South Atlantic Conference,D2
Trevecca Nazarene University,Trojans,Nashville,Tennessee,TN,,Great Midwest Athletic Conference,D2
Tusculum College,Pioneers,Greeneville,Tennessee,TN,,South Atlantic Conference,D2
Union University,Bulldogs,Jackson,Tennessee,TN,,Gulf South Conference,D2
Maryville College,Scots,Maryville,Tennessee,TN,,USA South Athletic Conference,D3
Rhodes College,Lynx,Memphis,Tennessee,TN,,Southern Athletic Association,D3
Sewanee: The University of the South,Tigers,Sewanee,Tennessee,TN,,Southern Athletic Association,D3
Bethel University,Wildcats,McKenzie,Tennessee,TN,,Southern States Athletic Conference,NAIA I
Bryan College,Lions,Dayton,Tennessee,TN,,Appalachian Athletic Conference,NAIA II
Cumberland University,Bulldogs,Lebanon,Tennessee,TN,,Mid-South Conference,NAIA I
Fisk University,Bulldogs,Nashville,Tennessee,TN,,Association of Independent Institutions,NAIA I
Freed–Hardeman University,Lions,Henderson,Tennessee,TN,,American Midwest Conference,NAIA I
Martin Methodist College,Red Hawks,Pulaski,Tennessee,TN,,Southern States Athletic Conference,NAIA I
Milligan College,Buffaloes,Elizabethton,Tennessee,TN,,Appalachian Athletic Conference,NAIA II
Tennessee Wesleyan College,Bulldogs,Athens,Tennessee,TN,,Appalachian Athletic Conference,NAIA II
Baylor University,Bears and Lady Bears,Waco,Texas,TX,Private/Baptist,Big 12 Conference,D1
University of Houston,Cougars,Houston,Texas,TX,State,American Athletic Conference,D1
Houston Baptist University,Huskies,Houston,Texas,TX,Private/Baptist,Southland Conference,D1
Lamar University,Cardinals and Lady Cardinals,Beaumont,Texas,TX,State,Southland Conference,D1
University of North Texas,Mean Green,Denton,Texas,TX,State,Conference USA,D1
Prairie View A&M University,Panthers and Lady Panthers,Prairie View,Texas,TX,State,Southwestern Athletic Conference,D1
Rice University,Owls,Houston,Texas,TX,Private/Non-Sectarian,Conference USA,D1
Sam Houston State University,Bearkats,Huntsville,Texas,TX,State,Southland Conference,D1
Southern Methodist University,Mustangs,University Park,Texas,TX,Private/Methodist,American Athletic Conference,D1
Stephen F. Austin State University,Lumberjacks and Ladyjacks,Nacogdoches,Texas,TX,State,Southland Conference,D1
Texas A&M University,Aggies,College Station,Texas,TX,State,Southeastern Conference,D1
Texas A&M University–Corpus Christi,Islanders,Corpus Christi,Texas,TX,State,Southland Conference,D1
University of Texas at Arlington,Mavericks,Arlington,Texas,TX,State,Sun Belt Conference,D1
University of Texas at Austin,Longhorns,Austin,Texas,TX,State,Big 12 Conference,D1
Texas Christian University,Horned Frogs and Lady Frogs,Fort Worth,Texas,TX,Private/Disciples of Christ,Big 12 Conference,D1
University of Texas at El Paso,Miners,El Paso,Texas,TX,State,Conference USA,D1
University of Texas Rio Grande Valley[A 33],Vaqueros,Edinburg,Texas,TX,State,Western Athletic Conference,D1
University of Texas at San Antonio,Roadrunners,San Antonio,Texas,TX,State,Conference USA,D1
Texas Southern University,Tigers and Lady Tigers,Houston,Texas,TX,State,Southwestern Athletic Conference,D1
Texas State University,Bobcats,San Marcos,Texas,TX,State,Sun Belt Conference,D1
Texas Tech University,Red Raiders[A 34],Lubbock,Texas,TX,State,Big 12 Conference,D1
Angelo State University,Rams & Rambelles,San Angelo,Texas,TX,,Lone Star Conference,D2
Dallas Baptist University,Patriots,Dallas,Texas,TX,,Heartland Conference,D2
Lubbock Christian University,Chaparrals & Lady Chaps,Lubbock,Texas,TX,,Heartland Conference,D2
Midwestern State University,Mustangs,Wichita Falls,Texas,TX,,Lone Star Conference,D2
St. Edward's University,Hilltoppers,Austin,Texas,TX,,Heartland Conference,D2
St. Mary's University,Rattlers,San Antonio,Texas,TX,,Heartland Conference,D2
Tarleton State University,Texans & TexAnns,Stephenville,Texas,TX,,Lone Star Conference,D2
Texas A&M International University,Dustdevils,Laredo,Texas,TX,,Heartland Conference,D2
Texas A&M University–Commerce,Lions,Commerce,Texas,TX,,Lone Star Conference,D2
Texas A&M University–Kingsville,Javelinas,Kingsville,Texas,TX,,Lone Star Conference,D2
Texas Woman's University,Pioneers,Denton,Texas,TX,,Lone Star Conference,D2
University of Texas of the Permian Basin,Falcons,Odessa,Texas,TX,,Lone Star Conference,D2
West Texas A&M University,Buffaloes,Canyon,Texas,TX,,Lone Star Conference,D2
Austin College,Kangaroos,Sherman,Texas,TX,,Southern Collegiate Athletic Conference,D3
Concordia University Texas,Tornados,Austin,Texas,TX,,American Southwest Conference,D3
University of Dallas,Crusaders,Irving,Texas,TX,,Southern Collegiate Athletic Conference,D3
East Texas Baptist University,Tigers,Marshall,Texas,TX,,American Southwest Conference,D3
Hardin–Simmons University,Cowboys and Cowgirls,Abilene,Texas,TX,,American Southwest Conference,D3
Howard Payne University,Yellow Jackets,Brownwood,Texas,TX,,American Southwest Conference,D3
LeTourneau University,Yellow Jackets,Longview,Texas,TX,,American Southwest Conference,D3
University of Mary Hardin–Baylor,Crusaders,Belton,Texas,TX,,American Southwest Conference,D3
McMurry University,War Hawks,Abilene,Texas,TX,,American Southwest Conference,D3
Schreiner University,Mountaineers,Kerrville,Texas,TX,,Southern Collegiate Athletic Conference,D3
Southwestern University,Pirates,Georgetown,Texas,TX,,Southern Collegiate Athletic Conference,D3
Sul Ross State University,Lobos,Alpine,Texas,TX,,American Southwest Conference,D3
University of Texas at Dallas,Comets,Dallas,Texas,TX,,American Southwest Conference,D3
Texas Lutheran University,Bulldogs,Seguin,Texas,TX,,Southern Collegiate Athletic Conference,D3
University of Texas at Tyler,Patriots,Tyler,Texas,TX,,American Southwest Conference,D3
Trinity University,Tigers,San Antonio,Texas,TX,,Southern Collegiate Athletic Conference,D3
University of Houston–Victoria,Jaguars,Victoria,Texas,TX,,Red River Athletic Conference,–
Huston–Tillotson University,Rams,Austin,Texas,TX,,Red River Athletic Conference,NAIA I
Jarvis Christian College,Bulldogs,Hawkins,Texas,TX,,Red River Athletic Conference,NAIA I
Our Lady of the Lake University,Saints,San Antonio,Texas,TX,,Red River Athletic Conference,NAIA I
Paul Quinn College,Tigers,Dallas,Texas,TX,,Red River Athletic Conference,NAIA I
University of St. Thomas,Celts,Houston,Texas,TX,,Red River Athletic Conference,NAIA I
Southwestern Assemblies of God University,Lions,Waxahachie,Texas,TX,,Sooner Athletic Conference,NAIA I
Texas A&M University–Texarkana,Eagles,Texarkana,Texas,TX,,Red River Athletic Conference,–
Texas College,Steers,Tyler,Texas,TX,,Red River Athletic Conference,NAIA I
Texas Wesleyan University,Rams,Fort Worth,Texas,TX,,Sooner Athletic Conference,NAIA I
Wayland Baptist University,Pioneers,Plainview,Texas,TX,,Sooner Athletic Conference,NAIA I
Wiley College,Wildcats,Marshall,Texas,TX,,Red River Athletic Conference,NAIA I
Brigham Young University,Cougars,Provo,Utah,UT,Private/Latter-Day Saints,West Coast Conference,D1
Southern Utah University,Thunderbirds,Cedar City,Utah,UT,State,Big Sky Conference,D1
University of Utah,Utes[A 36],Salt Lake City,Utah,UT,State,Pac-12 Conference,D1
Utah State University,Aggies,Logan,Utah,UT,State,Mountain West Conference,D1
Utah Valley University,Wolverines,Orem,Utah,UT,State,Western Athletic Conference,D1
Weber State University,Wildcats,Ogden,Utah,UT,State,Big Sky Conference,D1
Dixie State University,Trailblazers,St. George,Utah,UT,,Pacific West Conference,D2
University of Vermont,Catamounts,Burlington,Vermont,VT,State,America East Conference,D1
Saint Michael's College,Purple Knights,Colchester,Vermont,VT,,Northeast-10 Conference,D2
Castleton University,Spartans,Castleton,Vermont,VT,,North Atlantic Conference,D3
Green Mountain College,Eagles,Poultney,Vermont,VT,,North Atlantic Conference,D3
Johnson State College,Badgers,Johnson,Vermont,VT,,North Atlantic Conference,D3
Lyndon State College,Hornets,Lyndonville,Vermont,VT,,North Atlantic Conference,D3
Middlebury College,Panthers,Middlebury,Vermont,VT,,New England Small College Athletic Conference,D3
Norwich University,Cadets,Northfield,Vermont,VT,,Great Northeast Athletic Conference,D3
Southern Vermont College,Mountaineers,Bennington,Vermont,VT,,New England Collegiate Conference,D3
University of the Virgin Islands,Buccaneers,Saint Thomas,Virgin Islands,,,Association of Independent Institutions,–
George Mason University,Patriots,Fairfax,Virginia,VA,State,Atlantic 10 Conference,D1
Hampton University,Pirates and Lady Pirates,Hampton,Virginia,VA,Private/Non-sectarian,Mid-Eastern Athletic Conference,D1
James Madison University,Dukes,Harrisonburg,Virginia,VA,State,Colonial Athletic Association,D1
Liberty University,Flames and Lady Flames,Lynchburg,Virginia,VA,Private/Baptist,Big South Conference,D1
Longwood University,Lancers,Farmville,Virginia,VA,State,Big South Conference,D1
Norfolk State University,Spartans,Norfolk,Virginia,VA,State,Mid-Eastern Athletic Conference,D1
Old Dominion University,Monarchs and Lady Monarchs,Norfolk,Virginia,VA,State,Conference USA,D1
Radford University,Highlanders,Radford,Virginia,VA,State,Big South Conference,D1
University of Richmond,Spiders,Richmond,Virginia,VA,Private/Non-Sectarian,Atlantic 10 Conference,D1
University of Virginia,Cavaliers,Charlottesville,Virginia,VA,State,Atlantic Coast Conference,D1
Virginia Commonwealth University,Rams,Richmond,Virginia,VA,State,Atlantic 10 Conference,D1
Virginia Military Institute,Keydets,Lexington,Virginia,VA,State,Southern Conference,D1
Virginia Tech[A 37],Hokies,Blacksburg,Virginia,VA,State,Atlantic Coast Conference,D1
College of William & Mary,Tribe,Williamsburg,Virginia,VA,State,Colonial Athletic Association,D1
Virginia State University,Trojans,Ettrick,Virginia,VA,,Central Intercollegiate Athletic Association,D2
Virginia Union University,Panthers,Richmond,Virginia,VA,,Central Intercollegiate Athletic Association,D2
University of Virginia's College at Wise,Highland Cavaliers,Wise,Virginia,VA,,Mountain East Conference,D2
Averett University,Cougars,Danville,Virginia,VA,,USA South Athletic Conference,D3
Bridgewater College,Eagles,Bridgewater,Virginia,VA,,Old Dominion Athletic Conference,D3
Christopher Newport University,Captains,Newport News,Virginia,VA,,Capital Athletic Conference,D3
Eastern Mennonite University,Royals,Harrisonburg,Virginia,VA,,Old Dominion Athletic Conference,D3
Emory and Henry College,Wasps,Emory,Virginia,VA,,Old Dominion Athletic Conference,D3
Ferrum College,Panthers,Ferrum,Virginia,VA,,USA South Athletic Conference,D3
Hampden–Sydney College,Tigers,Hampden Sydney,Virginia,VA,,Old Dominion Athletic Conference,D3
Hollins University,None,Roanoke,Virginia,VA,,Old Dominion Athletic Conference,D3
Lynchburg College,Hornets,Lynchburg,Virginia,VA,,Old Dominion Athletic Conference,D3
Mary Baldwin College,Fighting Squirrels,Staunton,Virginia,VA,,USA South Athletic Conference,D3
University of Mary Washington,Eagles,Fredericksburg,Virginia,VA,,Capital Athletic Conference,D3
Marymount University,Saints,Arlington,Virginia,VA,,Capital Athletic Conference,D3
Randolph College,WildCats,Lynchburg,Virginia,VA,,Old Dominion Athletic Conference,D3
Randolph–Macon College,Yellow Jackets,Ashland,Virginia,VA,,Old Dominion Athletic Conference,D3
Roanoke College,Maroons,Salem,Virginia,VA,,Old Dominion Athletic Conference,D3
Shenandoah University,Hornets,Winchester,Virginia,VA,,Old Dominion Athletic Conference,D3
Southern Virginia University[A 2],Knights,Buena Vista,Virginia,VA,,Capital Athletic Conference,D3
Sweet Briar College,Vixens,Sweet Briar,Virginia,VA,,Old Dominion Athletic Conference,D3
Virginia Wesleyan College,Marlins,Virginia Beach,Virginia,VA,,Old Dominion Athletic Conference,D3
Washington and Lee University,Generals,Lexington,Virginia,VA,,Old Dominion Athletic Conference,D3
Bluefield College,Rams,Bluefield,Virginia,VA,,Appalachian Athletic Conference,NAIA II
Eastern Washington University,Eagles,Cheney,Washington,WA,State,Big Sky Conference,D1
Gonzaga University,Bulldogs,Spokane,Washington,WA,Private/Catholic,West Coast Conference,D1
Seattle University,Redhawks,Seattle,Washington,WA,Private/Catholic,Western Athletic Conference,D1
University of Washington,Huskies,Seattle,Washington,WA,State,Pac-12 Conference,D1
Washington State University,Cougars,Pullman,Washington,WA,State,Pac-12 Conference,D1
Central Washington University,Wildcats,Ellensburg,Washington,WA,,Great Northwest Athletic Conference,D2
Saint Martin's University,Saints,Lacey,Washington,WA,,Great Northwest Athletic Conference,D2
Seattle Pacific University,Falcons,Seattle,Washington,WA,,Great Northwest Athletic Conference,D2
Western Washington University,Vikings,Bellingham,Washington,WA,,Great Northwest Athletic Conference,D2
Pacific Lutheran University,Lutes,Tacoma,Washington,WA,,Northwest Conference,D3
University of Puget Sound,Loggers,Tacoma,Washington,WA,,Northwest Conference,D3
Whitman College,Blues,Walla Walla,Washington,WA,,Northwest Conference,D3
Whitworth University,Pirates,Spokane,Washington,WA,,Northwest Conference,D3
The Evergreen State College,Geoducks,Olympia,Washington,WA,,Cascade Collegiate Conference,NAIA II
Northwest University,Eagles,Kirkland,Washington,WA,,Cascade Collegiate Conference,NAIA II
Walla Walla University,Wolves,College Place,Washington,WA,,Cascade Collegiate Conference,NAIA II
Marshall University,Thundering Herd,Huntington,West Virginia,WV,State,Conference USA,D1
West Virginia University,Mountaineers,Morgantown,West Virginia,WV,State,Big 12 Conference,D1
Alderson Broaddus University,Battlers,Philippi,West Virginia,WV,,Great Midwest Athletic Conference,D2
Bluefield State College,Big Blues & Lady Blues,Bluefield,West Virginia,WV,,Independent,D2
University of Charleston,Golden Eagles,Charleston,West Virginia,WV,,Mountain East Conference,D2
Concord University,Mountain Lions,Athens,West Virginia,WV,,Mountain East Conference,D2
Davis & Elkins College,Senators,Elkins,West Virginia,WV,,Great Midwest Athletic Conference,D2
Fairmont State University,Falcons,Fairmont,West Virginia,WV,,Mountain East Conference,D2
Glenville State College,Pioneers,Glenville,West Virginia,WV,,Mountain East Conference,D2
Ohio Valley University,Fighting Scots,Vienna,West Virginia,WV,,Great Midwest Athletic Conference,D2
Salem International University,Tigers,Salem,West Virginia,WV,,Independent,D2
Shepherd University,Rams,Shepherdstown,West Virginia,WV,,Mountain East Conference,D2
West Liberty University,Hilltoppers,West Liberty,West Virginia,WV,,Mountain East Conference,D2
West Virginia State University,Yellow Jackets,Institute,West Virginia,WV,,Mountain East Conference,D2
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,WV,,Mountain East Conference,D2
Wheeling Jesuit University,Cardinals,Wheeling,West Virginia,WV,,Mountain East Conference,D2
Bethany College,Bison,Bethany,West Virginia,WV,,Presidents' Athletic Conference,D3
West Virginia University Institute of Technology,Golden Bears,Montgomery,West Virginia,WV,,River States Conference,NAIA II
Marquette University,Golden Eagles,Milwaukee,Wisconsin,WI,Private/Catholic,Big East Conference,D1
University of Wisconsin–Green Bay,Phoenix[A 38],Green Bay,Wisconsin,WI,State,Horizon League,D1
University of Wisconsin–Madison,Badgers,Madison,Wisconsin,WI,State,Big Ten Conference,D1
University of Wisconsin–Milwaukee,Panthers[A 39],Milwaukee,Wisconsin,WI,State,Horizon League,D1
University of Wisconsin–Parkside,Rangers,Kenosha,Wisconsin,WI,,Great Lakes Valley Conference,D2
Alverno College,Inferno,Milwaukee,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Beloit College,Buccaneers,Beloit,Wisconsin,WI,,Midwest Conference,D3
Carroll University,Pioneers,Waukesha,Wisconsin,WI,,College Conference of Illinois and Wisconsin,D3
Carthage College,Red Men/Lady Reds,Kenosha,Wisconsin,WI,,College Conference of Illinois and Wisconsin,D3
Concordia University Wisconsin,Falcons,Mequon,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Edgewood College,Eagles,Madison,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Lakeland College,Muskies,Sheboygan,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Lawrence University,Vikings,Appleton,Wisconsin,WI,,Midwest Conference,D3
Maranatha Baptist University,Sabercats,Watertown,Wisconsin,WI,,Independent,D3
Marian University,Sabres,Fond du Lac,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Milwaukee School of Engineering,Raiders,Milwaukee,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
Mount Mary University,Blue Angels,Milwaukee,Wisconsin,WI,,Independent,D3
Northland College,Lumberjacks and Lumberjills,Ashland,Wisconsin,WI,,Upper Midwest Athletic Conference,D3
Ripon College,Red Hawks,Ripon,Wisconsin,WI,,Midwest Conference,D3
St. Norbert College,Green Knights,De Pere,Wisconsin,WI,,Midwest Conference,D3
University of Wisconsin–Eau Claire,Blugolds,Eau Claire,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–La Crosse,Eagles,La Crosse,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
Wisconsin Lutheran College,Warriors,Milwaukee,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
University of Wisconsin–Oshkosh,Titans,Oshkosh,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–Platteville,Pioneers,Platteville,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–River Falls,Falcons,River Falls,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–Stevens Point,Pointers,Stevens Point,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–Stout,Blue Devils,Menomonie,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
University of Wisconsin–Superior,Yellow Jackets,Superior,Wisconsin,WI,,Upper Midwest Athletic Conference,D3
University of Wisconsin–Whitewater,Warhawks,Whitewater,Wisconsin,WI,,Wisconsin Intercollegiate Athletic Conference,D3
Cardinal Stritch University,Wolves,Milwaukee,Wisconsin,WI,,Chicagoland Collegiate Athletic Conference,NAIA II
Silver Lake College,Lakers,Manitowoc,Wisconsin,WI,,Association of Independent Institutions,NAIA II
Viterbo University,V-Hawks,La Crosse,Wisconsin,WI,,North Star Athletic Association,NAIA II
University of Wyoming,Cowboys and Cowgirls,Laramie,Wyoming,WY,State,Mountain West Conference,D1
